Id_code,Codice Ripartizione geografica,Codice Regione,Codice Comune (alfanumerico),Codice Comune (numerico),Ripartizione Geografica,Regione,Sigla automobilistica,Comune,Capoluogo di Provincia/Uts,Capoluogo di Regione,Popolazione legale,Superficie (Kmq),Year,deaths,injured,road_acc,road_acc_per_km2,road_acc_per_1000_inhabitants
1063,1,1,1063,1063,Nord-Ovest,Piemonte,TO,Caselle Torinese,No,No,13389.0,23.5513,2021,0,47,28,1.1888940313273577,2.091268952124879
1063,1,1,1063,1063,Nord-Ovest,Piemonte,TO,Caselle Torinese,No,No,13389.0,23.5513,2022,1,32,21,0.8916705234955182,1.568451714093659
1063,1,1,1063,1063,Nord-Ovest,Piemonte,TO,Caselle Torinese,No,No,13389.0,23.5513,2023,1,45,35,1.486117539159197,2.6140861901560983
1063,1,1,1063,1063,Nord-Ovest,Piemonte,TO,Caselle Torinese,No,No,13389.0,23.5513,2024,0,45,30,1.273815033565026,2.240645305848084
1064,1,1,1064,1064,Nord-Ovest,Piemonte,TO,Castagneto Po,No,No,1791.0,11.4732,2021,0,6,3,0.2614789247986612,1.6750418760469012
1064,1,1,1064,1064,Nord-Ovest,Piemonte,TO,Castagneto Po,No,No,1791.0,11.4732,2022,0,7,6,0.5229578495973224,3.3500837520938025
1064,1,1,1064,1064,Nord-Ovest,Piemonte,TO,Castagneto Po,No,No,1791.0,11.4732,2023,0,5,4,0.34863856639821494,2.233389168062535
1064,1,1,1064,1064,Nord-Ovest,Piemonte,TO,Castagneto Po,No,No,1791.0,11.4732,2024,1,10,8,0.6972771327964299,4.46677833612507
1065,1,1,1065,1065,Nord-Ovest,Piemonte,TO,Castagnole Piemonte,No,No,2193.0,17.2796,2021,0,0,0,0.0,0.0
1065,1,1,1065,1065,Nord-Ovest,Piemonte,TO,Castagnole Piemonte,No,No,2193.0,17.2796,2022,0,1,1,0.057871709993286884,0.45599635202918376
1065,1,1,1065,1065,Nord-Ovest,Piemonte,TO,Castagnole Piemonte,No,No,2193.0,17.2796,2023,0,0,0,0.0,0.0
1065,1,1,1065,1065,Nord-Ovest,Piemonte,TO,Castagnole Piemonte,No,No,2193.0,17.2796,2024,0,1,1,0.057871709993286884,0.45599635202918376
1066,1,1,1066,1066,Nord-Ovest,Piemonte,TO,Castellamonte,No,No,9917.0,38.7063,2021,0,16,11,0.28419146237175863,1.1092064132298074
1066,1,1,1066,1066,Nord-Ovest,Piemonte,TO,Castellamonte,No,No,9917.0,38.7063,2022,0,13,9,0.23252028739507521,0.9075325199152969
1066,1,1,1066,1066,Nord-Ovest,Piemonte,TO,Castellamonte,No,No,9917.0,38.7063,2023,0,12,7,0.18084911241839186,0.7058586266007865
1066,1,1,1066,1066,Nord-Ovest,Piemonte,TO,Castellamonte,No,No,9917.0,38.7063,2024,2,23,16,0.4133693998134671,1.6133911465160835
1067,1,1,1067,1067,Nord-Ovest,Piemonte,TO,Castelnuovo Nigra,No,No,417.0,28.3756,2021,0,2,2,0.07048309110644357,4.796163069544364
1067,1,1,1067,1067,Nord-Ovest,Piemonte,TO,Castelnuovo Nigra,No,No,417.0,28.3756,2022,0,0,0,0.0,0.0
1067,1,1,1067,1067,Nord-Ovest,Piemonte,TO,Castelnuovo Nigra,No,No,417.0,28.3756,2023,0,0,0,0.0,0.0
1067,1,1,1067,1067,Nord-Ovest,Piemonte,TO,Castelnuovo Nigra,No,No,417.0,28.3756,2024,0,1,1,0.03524154555322179,2.398081534772182
1068,1,1,1068,1068,Nord-Ovest,Piemonte,TO,Castiglione Torinese,No,No,6363.0,14.1345,2021,0,19,11,0.7782376454773781,1.7287443030017287
