Id_code,Year,deaths,injured,road_acc
1072,2021,0,1,1
1072,2022,0,2,1
1072,2023,0,0,0
1072,2024,0,3,2
1073,2021,0,0,0
1073,2022,0,1,1
1073,2023,0,0,0
1073,2024,0,1,1
1074,2021,0,3,3
1074,2022,0,7,5
1074,2023,0,11,7
1074,2024,0,8,5
1075,2021,0,0,0
1075,2022,0,0,0
1075,2023,0,0,0
1075,2024,0,1,1
1076,2021,0,4,4
1076,2022,0,8,5
1076,2023,0,6,5
1076,2024,0,5,5
1077,2021,0,9,5
1077,2022,0,1,1
1077,2023,0,6,4
1077,2024,0,2,1
1078,2021,2,67,50
1078,2022,1,66,43
1078,2023,1,73,60
1078,2024,1,90,65
1079,2021,0,0,0
1079,2022,0,0,0
1079,2023,0,0,0
1080,2021,0,1,1
1080,2022,1,4,4
1080,2023,0,9,4
1080,2024,0,10,4
1081,2021,0,0,0
1081,2022,0,5,5
1081,2023,0,1,1
1081,2024,0,7,5
1082,2021,1,84,60
1082,2022,1,80,58
1082,2023,0,115,83
1082,2024,1,102,67
1083,2021,0,1,1
1083,2022,0,0,0
1083,2023,0,0,0
1084,2021,0,0,0
1084,2022,0,0,0
1084,2023,0,0,0
1085,2021,0,0,0
1085,2022,0,0,0
1085,2023,0,0,0
1086,2021,0,43,33
1086,2022,1,37,26
1086,2023,0,41,31
1086,2024,0,49,42
1087,2021,0,0,0
1087,2022,0,0,0
1087,2023,0,0,0
1088,2021,0,2,1
1088,2022,0,1,1
1088,2023,0,2,2
1089,2021,0,1,1
1089,2022,0,3,2
1089,2023,0,3,3
1089,2024,2,3,3
1090,2021,0,203,138
1090,2022,1,206,136
1090,2023,0,190,130
1090,2024,1,205,138
1091,2021,0,0,0
1091,2022,0,0,0
1091,2023,0,0,0
1092,2021,0,0,0
1092,2022,0,7,5
1092,2023,0,1,1
1093,2021,0,7,5
1093,2022,0,14,6
1093,2023,0,10,5
1093,2024,0,9,7
1094,2021,0,1,1
1094,2022,0,2,1
1094,2023,1,7,7
1094,2024,0,4,3
1095,2021,0,0,0
1095,2022,0,0,0
1095,2023,0,0,0
1096,2021,0,1,1
1096,2022,0,0,0
1096,2023,0,1,1
1096,2024,0,1,1
1097,2021,1,11,7
1097,2022,0,18,10
1097,2023,0,9,7
1097,2024,0,12,8
1098,2021,0,3,2
1098,2022,0,2,2
1098,2023,1,10,7
1098,2024,0,15,11
1099,2021,1,14,13
1099,2022,0,8,7
1099,2023,0,14,11
1099,2024,0,12,10
1100,2021,0,7,3
1100,2022,0,3,2
1100,2023,1,5,4
1100,2024,0,5,2
1101,2021,0,5,3
1101,2022,0,4,3
1101,2023,0,1,1
1101,2024,0,3,2
1102,2021,0,4,1
1102,2022,1,3,4
1102,2023,0,3,3
1102,2024,0,3,2
1103,2021,0,0,0
1103,2022,0,4,2
1103,2023,0,5,3
1103,2024,0,2,2
1104,2021,0,9,6
1104,2022,0,2,2
1104,2023,0,3,3
1104,2024,0,6,6
1105,2021,0,0,0
1105,2022,0,1,1
1105,2023,0,0,0
1105,2024,0,2,1
1106,2021,0,3,3
1106,2022,0,15,7
1106,2023,0,7,3
1106,2024,0,11,7
1107,2021,0,1,1
1107,2022,0,4,3
1107,2023,0,4,2
1107,2024,0,1,1
1108,2021,0,0,0
1108,2022,0,0,0
1108,2023,0,0,0
1109,2021,0,7,6
1109,2022,0,4,3
1109,2023,0,5,3
1109,2024,0,10,7
1110,2021,0,5,4
1110,2022,0,3,1
1110,2023,0,4,2
1110,2024,0,2,2
1111,2021,0,0,0
1111,2022,0,2,2
1111,2023,0,3,1
